City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Oro Valley,US,2020-04-24 03:09:48,32.39,-110.97,84.2,13,1,10.29
70,Jasper,US,2020-04-24 03:09:49,37.2,-94.35,61.0,82,1,3.36
71,Qaanaaq,GL,2020-04-24 03:09:49,77.48,-69.36,10.99,90,58,3.18
72,Puteyets,RU,2020-04-24 03:09:49,65.17,57.09,22.37,96,100,8.19
73,Kalmunai,LK,2020-04-24 03:09:49,7.42,81.82,83.39,77,100,6.93
74,Yellowknife,CA,2020-04-24 03:09:49,62.46,-114.35,26.6,63,75,5.82
75,Kontagora,NG,2020-04-24 03:09:49,10.4,5.47,81.59,60,68,7.36
76,San Patricio,MX,2020-04-24 03:09:50,19.22,-104.7,73.6,70,47,1.77
77,Mandalgovi,MN,2020-04-24 03:08:03,45.76,106.27,58.32,17,23,17.07
78,Novyy Urengoy,RU,2020-04-24 03:07:43,66.08,76.63,26.4,95,42,11.14
79,Coron,PH,2020-04-24 03:09:50,12.0,120.2,87.94,60,95,13.89
80,Ketchikan,US,2020-04-24 03:09:03,55.34,-131.65,48.2,76,90,18.34
81,Cape Town,ZA,2020-04-24 03:06:26,-33.93,18.42,62.01,82,99,5.82
82,Avarua,CK,2020-04-24 03:09:51,-21.21,-159.78,82.4,74,75,8.05
83,Iqaluit,CA,2020-04-24 03:07:28,63.75,-68.51,28.4,68,90,9.17
84,Porosozero,RU,2020-04-24 03:09:51,62.72,32.73,27.79,96,100,4.09
85,Mufulira,ZM,2020-04-24 03:09:51,-12.55,28.24,53.55,65,17,3.83
86,Lorengau,PG,2020-04-24 03:09:52,-2.02,147.27,84.87,72,29,5.75
87,Hofn,IS,2020-04-24 03:09:52,64.25,-15.21,38.95,76,99,1.57
88,Castro,BR,2020-04-24 03:09:52,-24.79,-50.01,53.15,72,2,4.54
89,Touros,BR,2020-04-24 03:09:52,-5.2,-35.46,77.0,94,40,3.36
90,San Andres,CO,2020-04-24 03:09:52,12.58,-81.7,82.4,78,75,4.7
91,Mwene-Ditu,CD,2020-04-24 03:09:53,-7.0,23.45,64.65,74,63,3.42
92,Port Elizabeth,ZA,2020-04-24 03:09:53,-33.92,25.57,59.0,93,100,3.36
93,Georgetown,MY,2020-04-24 03:09:53,5.41,100.34,86.0,78,20,4.7
94,Parkes,AU,2020-04-24 03:09:53,-33.13,148.18,75.0,47,24,1.01
95,Dano,BF,2020-04-24 03:09:54,11.15,-3.07,85.62,46,85,7.47
96,Iskateley,RU,2020-04-24 03:09:54,67.68,53.15,23.49,97,86,17.31
97,Atherton,GB,2020-04-24 03:09:54,53.52,-2.49,46.0,87,95,1.12
98,Broceni,LV,2020-04-24 03:09:54,56.7,22.53,36.45,80,98,2.93
99,Saint-Augustin,CA,2020-04-24 03:09:54,51.23,-58.65,27.09,95,96,14.83
100,Save,BJ,2020-04-24 03:09:55,8.04,2.49,77.09,80,92,5.61
101,Buchanan,LR,2020-04-24 03:09:55,5.88,-10.05,73.4,94,75,5.1
102,Torbay,CA,2020-04-24 03:05:14,47.67,-52.73,35.01,94,90,12.75
103,Pasvalys,LT,2020-04-24 03:09:55,56.06,24.4,35.6,86,84,8.05
104,Aklavik,CA,2020-04-24 03:09:55,68.22,-135.01,5.0,54,40,10.29
105,Hasaki,JP,2020-04-24 03:09:55,35.73,140.83,61.0,58,75,10.29
106,Bongor,TD,2020-04-24 03:09:56,10.28,15.37,87.44,26,81,2.71
107,Bredasdorp,ZA,2020-04-24 03:09:01,-34.53,20.04,48.2,87,96,1.12
108,Bay Roberts,CA,2020-04-24 03:09:56,47.6,-53.26,35.01,74,70,3.0
109,Honiara,SB,2020-04-24 03:09:56,-9.43,159.95,87.8,74,20,4.7
110,Vaitape,PF,2020-04-24 03:09:56,-16.52,-151.75,81.57,70,8,16.15
