City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Ahipara,NZ,2020-05-01 23:11:56,-35.17,173.17,68.45,67,90,15.75,overcast clouds,0,0
57,Nantucket,US,2020-05-01 23:11:41,41.28,-70.1,55.99,87,1,6.93,clear sky,0,0
58,Shintomi,JP,2020-05-01 23:11:56,32.08,131.47,62.6,82,85,5.82,overcast clouds,0,0
59,Avarua,CK,2020-05-01 23:11:56,-21.21,-159.78,73.4,73,100,8.05,light rain,0,0
60,Dikson,RU,2020-05-01 23:11:56,73.51,80.55,14.0,96,88,9.82,overcast clouds,0,0
61,Hay River,CA,2020-05-01 23:11:57,60.82,-115.8,35.6,78,40,10.29,scattered clouds,0,0
62,Saint-Philippe,RE,2020-05-01 23:11:57,-21.36,55.77,69.8,73,51,6.93,broken clouds,0,0
63,Verkhoyansk,RU,2020-05-01 23:11:57,67.54,133.38,19.9,91,94,1.45,overcast clouds,0,0
64,Sitka,US,2020-05-01 23:11:57,57.05,-135.33,53.6,46,75,10.29,broken clouds,0,0
65,Chokurdakh,RU,2020-05-01 23:11:57,70.63,147.92,20.62,97,100,5.37,overcast clouds,0,0
66,Hamilton,US,2020-05-01 23:11:58,39.18,-84.53,68.0,32,20,5.03,light rain,0,0
67,Kaitangata,NZ,2020-05-01 23:11:58,-46.28,169.85,60.01,49,92,1.99,overcast clouds,0,0
68,Soe,ID,2020-05-01 23:11:58,-9.86,124.28,68.59,71,77,3.89,broken clouds,0,0
69,Finspang,SE,2020-05-01 23:11:58,58.71,15.77,46.4,87,91,11.41,overcast clouds,0,0
70,Manjacaze,MZ,2020-05-01 23:11:58,-24.71,33.88,65.5,92,2,3.09,clear sky,0,0
71,Saint-Joseph,RE,2020-05-01 23:11:59,-21.37,55.62,69.8,73,50,6.93,scattered clouds,0,0
72,Port Blair,IN,2020-05-01 23:11:59,11.67,92.75,81.34,78,100,6.02,overcast clouds,0,0
73,Sawankhalok,TH,2020-05-01 23:11:59,17.32,99.83,82.0,78,96,1.66,overcast clouds,0,0
74,Hithadhoo,MV,2020-05-01 23:11:59,-0.6,73.08,84.94,76,10,12.17,clear sky,0,0
75,San Patricio,MX,2020-05-01 23:11:59,19.22,-104.7,82.4,69,5,11.41,clear sky,0,0
76,Comodoro Rivadavia,AR,2020-05-01 23:10:56,-45.87,-67.5,55.4,62,100,9.17,overcast clouds,0,0
77,Christchurch,NZ,2020-05-01 23:12:00,-43.53,172.63,66.2,39,23,4.7,few clouds,0,0
78,Morondava,MG,2020-05-01 23:12:00,-20.28,44.28,75.87,70,0,11.25,clear sky,0,0
79,Santo Antonio Do Ica,BR,2020-05-01 23:12:00,-3.1,-67.94,78.94,86,96,0.83,overcast clouds,0,0
80,Ponta Do Sol,PT,2020-05-01 23:12:00,32.67,-17.1,66.2,77,40,2.24,scattered clouds,0,0
81,Makokou,GA,2020-05-01 23:12:01,0.57,12.86,71.64,84,84,1.83,moderate rain,0,0
82,Broome,US,2020-05-01 23:12:01,42.25,-75.83,55.0,87,90,9.17,overcast clouds,0,0
83,Albany,US,2020-05-01 23:10:25,42.6,-73.97,57.99,75,98,15.01,light rain,0,0
84,Lorengau,PG,2020-05-01 23:12:01,-2.02,147.27,84.52,75,50,6.73,light rain,0,0
85,Vaini,TO,2020-05-01 23:12:02,-21.2,-175.2,80.6,69,20,11.41,few clouds,0,0
86,Wahiawa,US,2020-05-01 23:12:02,21.5,-158.02,84.2,61,90,8.05,overcast clouds,0,0
87,Carnarvon,AU,2020-05-01 23:12:02,-24.87,113.63,60.8,51,0,1.12,clear sky,0,0
88,Mattru,SL,2020-05-01 23:12:02,7.62,-11.83,78.53,91,80,2.89,broken clouds,0,0
89,New Norfolk,AU,2020-05-01 23:11:42,-42.78,147.06,51.01,83,98,3.0,light rain,0,0
90,Sobolevo,RU,2020-05-01 23:12:03,54.43,31.9,45.01,76,88,10.49,overcast clouds,0,0
91,Sur,OM,2020-05-01 23:12:03,22.57,59.53,86.76,55,0,10.4,clear sky,0,0
92,Airai,TL,2020-05-01 23:12:03,-8.93,125.41,62.1,66,36,3.42,scattered clouds,0,0
93,Slavsk,RU,2020-05-01 23:12:03,55.04,21.68,48.85,97,99,2.28,moderate rain,0,0
94,Sabang,ID,2020-05-01 23:12:03,5.89,95.32,79.54,81,100,10.22,light rain,0,0
95,Alugan,PH,2020-05-01 23:12:03,12.22,125.48,81.05,85,29,9.06,light rain,0,0
96,Namibe,AO,2020-05-01 23:12:04,-15.2,12.15,79.56,63,22,1.07,few clouds,0,0
97,Chapais,CA,2020-05-01 23:12:04,49.78,-74.85,44.6,80,75,9.17,broken clouds,0,0
98,Hasaki,JP,2020-05-01 23:12:04,35.73,140.83,66.0,88,0,5.82,clear sky,0,0
99,Progreso,MX,2020-05-01 23:12:04,21.28,-89.67,87.8,43,20,13.87,few clouds,0,0
100,Klaksvik,FO,2020-05-01 23:12:04,62.23,-6.59,41.0,78,81,9.17,broken clouds,0,0
101,Victoria,HK,2020-05-01 23:10:39,22.29,114.16,75.0,83,79,4.0,broken clouds,0,0
102,Nanortalik,GL,2020-05-01 23:12:05,60.14,-45.24,35.64,83,50,4.99,scattered clouds,0,0
103,Saint Pete Beach,US,2020-05-01 23:12:05,27.73,-82.74,75.99,44,1,11.41,clear sky,0,0
104,Noyabrsk,RU,2020-05-01 23:12:05,63.2,75.45,32.14,95,100,6.53,light snow,0,0
105,Milkovo,RU,2020-05-01 23:12:05,54.72,158.62,38.19,70,52,0.47,broken clouds,0,0
106,Botwood,CA,2020-05-01 23:12:06,49.15,-55.35,46.0,42,97,10.07,overcast clouds,0,0
107,Nishihara,JP,2020-05-01 23:12:06,26.18,127.76,71.6,94,90,12.75,light rain,0,0
108,Waspan,NI,2020-05-01 23:12:06,14.74,-83.97,87.8,66,20,5.82,few clouds,0,0
109,Mount Gambier,AU,2020-05-01 23:12:06,-37.83,140.77,50.0,81,90,14.99,overcast clouds,0,0
110,Mullovka,RU,2020-05-01 23:12:07,54.2,49.4,44.6,93,90,11.18,overcast clouds,0,0
111,Cam Ranh,VN,2020-05-01 23:12:07,11.92,109.16,78.8,88,20,3.36,few clouds,0,0
112,Alenquer,BR,2020-05-01 23:12:07,-1.94,-54.74,82.4,83,20,4.7,few clouds,0,0
113,Lavrentiya,RU,2020-05-01 23:12:07,65.58,-171.0,27.5,93,1,7.16,clear sky,0,0
114,Eureka,US,2020-05-01 23:07:10,40.8,-124.16,66.0,65,1,8.01,clear sky,0,0
115,Mitha Tiwana,PK,2020-05-01 23:12:07,32.25,72.11,80.37,51,99,11.52,overcast clouds,0,0
116,Macusani,PE,2020-05-01 23:12:08,-14.08,-70.43,37.42,23,95,4.47,overcast clouds,0,0
117,Hirara,JP,2020-05-01 23:12:08,24.8,125.28,77.0,94,75,13.87,broken clouds,0,0
118,El Alto,PE,2020-05-01 23:12:08,-4.27,-81.21,72.88,70,41,8.21,scattered clouds,0,0
119,Tuktoyaktuk,CA,2020-05-01 23:12:08,69.45,-133.04,24.8,73,90,4.7,overcast clouds,0,0
120,East London,ZA,2020-05-01 23:12:08,-33.02,27.91,67.17,53,82,7.18,broken clouds,0,0
121,Mar Del Plata,AR,2020-05-01 23:11:05,-38.0,-57.56,55.99,82,0,6.93,clear sky,0,0
122,Korhogo,CI,2020-05-01 23:12:09,9.45,-5.63,83.34,55,90,6.53,overcast clouds,0,0
