City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
196,Angoche,MZ,76.17,-16.23,39.91,Guest House HESADA
201,Gat,IL,62.01,31.61,34.76,אהבה ברווחה
203,Thunder Bay,CA,71.6,48.4,-89.32,Victoria Inn Hotel and Convention Centre
204,Dingle,PH,78.67,11.0,122.67,Camp Pasica
212,Lodja,CD,70.99,-3.48,23.43,
214,Camacha,PT,66.2,33.08,-16.33,Hotel Porto Santo & Spa
216,Lagoa,PT,62.38,39.05,-27.98,Casa Das Faias
218,Saraland,US,77.0,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
220,Hualmay,PE,70.65,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
223,Neuquen,AR,62.6,-38.95,-68.06,Hotel del Comahue
226,Praia Da Vitoria,PT,62.6,38.73,-27.07,Hotel Branco I
231,Kaduna,NG,76.78,10.52,7.44,HAMDALA HOTEL
233,Griffith,US,64.0,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
234,Nouadhibou,MR,66.2,20.93,-17.03,El Medina
236,Senador Jose Porfirio,BR,77.7,-2.59,-51.95,Benedito Maia
244,Tezu,IN,69.06,27.92,96.17,Circuit House
247,Sao Jose Da Coroa Grande,BR,79.59,-8.9,-35.15,Crôa Mares Hotel
248,Richards Bay,ZA,63.59,-28.78,32.04,BON Hotel Waterfront Richards Bay
249,Opuwo,,68.29,-18.06,13.84,ABBA Guesthouse
250,Mahebourg,MU,75.2,-20.41,57.7,Shandrani Beachcomber Resort & Spa
253,Poum,NC,79.25,-20.23,164.02,Gîte kajeon
257,Clinton,US,63.0,42.59,-82.92,River's Edge
260,Vila Velha,BR,77.0,-20.33,-40.29,Hotel Vitória Palace
262,Piacabucu,BR,78.57,-10.41,-36.43,Piaçabuçu News
263,Mangrol,IN,79.59,21.12,70.12,Hotel The Royal Honours
268,Tadine,NC,78.94,-21.55,167.88,
269,Korla,CN,62.01,41.76,86.15,Gulisitan Hotel
270,Roebourne,AU,65.66,-20.78,117.13,Harding River Caravan Park
273,Port Macquarie,AU,61.0,-31.43,152.92,Rydges Port Macquarie
274,Grand Forks,US,60.8,47.93,-97.03,TownHouse Hotel - Grand Forks
276,Yeppoon,AU,66.2,-23.13,150.73,Villa Mar Colina
285,Novo Oriente,BR,73.2,-5.53,-40.77,Golden Palace Hotel
290,Saint Anthony,US,77.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
291,Yairipok,IN,61.95,24.67,94.07,Ningthounai
292,Trairi,BR,79.32,-3.28,-39.27,Pousada Field Lilies - Trairi
296,Belmonte,BR,77.0,-15.86,-38.88,Pousada Monte Carmelo O Pão
297,Luanda,AO,78.8,-8.84,13.23,EPIC SANA Luanda
